Title,Date
"Extraction","4/26/20"
"Charmed: Season 7: Charmed Noir","4/26/20"
"Charmed: Season 7: Someone to Witch Over Me","4/25/20"
"Charmed: Season 7: Once in a Blue Moon","4/25/20"
"Charmed: Season 7: Styx Feet Under","4/25/20"
"Charmed: Season 7: Charrrmed!","4/24/20"
"Charmed: Season 7: Cheaper by the Coven","4/24/20"
"Charmed: Season 7: The Bare Witch Project","4/24/20"
"Charmed: Season 7: A Call to Arms","4/24/20"
"Charmed: Season 6: It's a Bad, Bad, Bad, Bad World: Parts 1 & 2","4/23/20"
"Charmed: Season 6: Witch Wars","4/23/20"
"Charmed: Season 6: A Wrong Day's Journey into Right","4/23/20"
"Charmed: Season 6: Crimes & Witch Demeanors","4/23/20"
"Charmed: Season 6: Spin City","4/23/20"
"Charmed: Season 6: Hyde School Reunion","4/23/20"
"Charmed: Season 6: The Courtship of Wyatt's Father","4/23/20"
"Charmed: Season 6: I Dream of Phoebe","4/22/20"
"The Green Hornet","4/22/20"
"Charmed: Season 6: The Legend of Sleepy Halliwell","4/22/20"
"Charmed: Season 6: Used Karma","4/21/20"
"Charmed: Season 6: Prince Charmed","4/21/20"
"Charmed: Season 6: Witchstock","4/21/20"
"Charmed: Season 6: Chris-Crossed","4/21/20"
"Charmed: Season 6: Little Monsters","4/20/20"
"Charmed: Season 6: Sword and the City","4/20/20"
"Charmed: Season 6: Soul Survivor","4/20/20"
"Charmed: Season 6: My Three Witches","4/20/20"
"Charmed: Season 6: Love's a Witch","4/20/20"
"Charmed: Season 6: The Power of Three Blondes","4/20/20"
"Charmed: Season 6: Forget Me...Not","4/19/20"
"Charmed: Season 6: Valhalley of the Dolls: Parts 1 & 2","4/19/20"
"Charmed: Season 5: Oh My Goddess: Parts 1 & 2","4/19/20"
"Waco: Limited Series: Day 51","4/19/20"
"Waco: Limited Series: Stalling for Time","4/19/20"
"Waco: Limited Series: Of Milk and Men","4/19/20"
"Waco: Limited Series: Operation Showtime","4/19/20"
"Waco: Limited Series: The Strangers Across the Street","4/19/20"
"Waco: Limited Series: Visions and Omens","4/19/20"
"Too Hot to Handle: Season 1: Love, Sex or Money","4/19/20"
"Charmed: Season 5: Necromancing the Stone","4/18/20"
"Despicable Me","4/18/20"
"Salt","4/18/20"
"Charmed: Season 5: Sense & Sense Ability","4/18/20"
"Charmed: Season 5: Nymphs Just Wanna Have Fun","4/18/20"
"Charmed: Season 5: Cat House","4/18/20"
"Charmed: Season 5: Lucky Charmed","4/17/20"
"Charmed: Season 5: Baby's First Demon","4/17/20"
"Charmed: Season 5: The Day the Magic Died","4/17/20"
"Charmed: Season 5: Sand Francisco Dreamin'","4/17/20"
"Charmed: Season 5: House Call","4/16/20"
"Charmed: Season 5: Centennial Charmed","4/16/20"
